Purchase Budget,House Age,Number of Bedrooms (BHK),Area's Resident Population,City,Furnishing Status,Price
2403285,13,1.5,78634,Durgapur,Fully furnished,2366991
2249952,13,1.5,89905,Durgapur,Semi-furnished,2095255
2995897,13,1.5,53549,Durgapur,Unfurnished,2402190
3145970,14,1.5,32850,Durgapur,Fully furnished,2781707
3042487,14,1.5,28362,Durgapur,Semi-furnished,2513187
2516094,14,1.5,34017,Durgapur,Unfurnished,1945569
2636305,15,1.5,40523,Durgapur,Fully furnished,2360242
2321598,15,1.5,81303,Durgapur,Semi-furnished,2030781
2960529,15,1.5,39168,Durgapur,Unfurnished,2243672
3359242,0,2,60853,Durgapur,Fully furnished,3646901
3797486,0,2,69788,Durgapur,Semi-furnished,3819623
3159085,0,2,86022,Durgapur,Unfurnished,3190153
3226686,1,2,99227,Durgapur,Fully furnished,3607581
2987188,1,2,42185,Durgapur,Semi-furnished,3120070
2897986,1,2,88129,Durgapur,Unfurnished,2973353
2996095,2,2,71191,Durgapur,Fully furnished,3345652
2914294,2,2,27540,Durgapur,Semi-furnished,3007451
3373035,2,2,52672,Durgapur,Unfurnished,3231385
3297559,3,2,28758,Durgapur,Fully furnished,3454412
3358909,3,2,7765,Durgapur,Semi-furnished,3274854
2802129,3,2,22292,Durgapur,Unfurnished,2703660
2910906,4,2,16629,Durgapur,Fully furnished,3104872
3464871,4,2,96520,Durgapur,Semi-furnished,3521646
3726583,4,2,56682,Durgapur,Unfurnished,3452903
3120010,5,2,34486,Durgapur,Fully furnished,3272077
3410933,5,2,21941,Durgapur,Semi-furnished,3285579
3276228,5,2,17010,Durgapur,Unfurnished,2992355
3532143,6,2,81188,Durgapur,Fully furnished,3655042
3546050,6,2,64050,Durgapur,Semi-furnished,3447908
3362317,6,2,61804,Durgapur,Unfurnished,3123330
3228476,7,2,46330,Durgapur,Fully furnished,3312568
3657269,7,2,58746,Durgapur,Semi-furnished,3485766
3257382,7,2,35603,Durgapur,Unfurnished,2950937
3037160,8,2,52168,Durgapur,Fully furnished,3143011
3066475,8,2,68392,Durgapur,Semi-furnished,3020983
3225678,8,2,42302,Durgapur,Unfurnished,2904580
3331916,9,2,6560,Durgapur,Fully furnished,3227688
2904119,9,2,90542,Durgapur,Semi-furnished,2907323
3388293,9,2,49189,Durgapur,Unfurnished,3004318
3359242,10,2,60853,Durgapur,Fully furnished,3326901
3797486,10,2,69788,Durgapur,Semi-furnished,3499623
3159085,10,2,86022,Durgapur,Unfurnished,2870153
3226686,11,2,99227,Durgapur,Fully furnished,3267581
2987188,11,2,42185,Durgapur,Semi-furnished,2780070
2897986,11,2,88129,Durgapur,Unfurnished,2633353
2996095,12,2,71191,Durgapur,Fully furnished,2985652
2914294,12,2,27540,Durgapur,Semi-furnished,2647451
3373035,12,2,52672,Durgapur,Unfurnished,2871385
3297559,13,2,28758,Durgapur,Fully furnished,3074412
3358909,13,2,7765,Durgapur,Semi-furnished,2894854
2802129,13,2,22292,Durgapur,Unfurnished,2323660
2910906,14,2,16629,Durgapur,Fully furnished,2704872
3464871,14,2,96520,Durgapur,Semi-furnished,3121646
3726583,14,2,56682,Durgapur,Unfurnished,3052903
3120010,15,2,34486,Durgapur,Fully furnished,2852077
3410933,15,2,21941,Durgapur,Semi-furnished,2865579
3276228,15,2,17010,Durgapur,Unfurnished,2572355
4255781,0,2.5,70884,Durgapur,Fully furnished,4502838
3654682,0,2.5,60590,Durgapur,Semi-furnished,3843356
3550535,0,2.5,30472,Durgapur,Unfurnished,3517945
4268010,1,2.5,82314,Durgapur,Fully furnished,4514278
4297612,1,2.5,23902,Durgapur,Semi-furnished,4228270
4272505,1,2.5,99929,Durgapur,Unfurnished,4196448
4152699,2,2.5,98967,Durgapur,Fully furnished,4438279
4240836,2,2.5,32087,Durgapur,Semi-furnished,4178127
3565559,2,2.5,55603,Durgapur,Unfurnished,3536651
3515338,3,2.5,90708,Durgapur,Fully furnished,3908714
4183259,3,2.5,82506,Durgapur,Semi-furnished,4218290
3801112,3,2.5,87198,Durgapur,Unfurnished,3758181
3468805,4,2.5,99595,Durgapur,Fully furnished,3863901
4079197,4,2.5,32685,Durgapur,Semi-furnished,4000597
3611411,4,2.5,45208,Durgapur,Unfurnished,3492630
3517646,5,2.5,30108,Durgapur,Fully furnished,3717149
4240864,5,2.5,89946,Durgapur,Semi-furnished,4218438
3576200,5,2.5,56910,Durgapur,Unfurnished,3460614
4193667,6,2.5,87271,Durgapur,Fully furnished,4323683
4117270,6,2.5,52101,Durgapur,Semi-furnished,4008247
4288777,6,2.5,72523,Durgapur,Unfurnished,4003521
4019423,7,2.5,79267,Durgapur,Fully furnished,4138649
4205515,7,2.5,15124,Durgapur,Semi-furnished,3958964
4091950,7,2.5,92705,Durgapur,Unfurnished,3863333
4200906,8,2.5,34704,Durgapur,Fully furnished,4141537
3502691,8,2.5,74958,Durgapur,Semi-furnished,3519453
4228158,8,2.5,59640,Durgapur,Unfurnished,3857108
3822789,9,2.5,33338,Durgapur,Fully furnished,3812163
3783562,9,2.5,27887,Durgapur,Semi-furnished,3590359
3628228,9,2.5,6444,Durgapur,Unfurnished,3245130
4255781,10,2.5,70884,Durgapur,Fully furnished,4182838
3654682,10,2.5,60590,Durgapur,Semi-furnished,3523356
3550535,10,2.5,30472,Durgapur,Unfurnished,3197945
4268010,11,2.5,82314,Durgapur,Fully furnished,4174278
4297612,11,2.5,23902,Durgapur,Semi-furnished,3888270
4272505,11,2.5,99929,Durgapur,Unfurnished,3856448
4152699,12,2.5,98967,Durgapur,Fully furnished,4078279
4240836,12,2.5,32087,Durgapur,Semi-furnished,3818127
3565559,12,2.5,55603,Durgapur,Unfurnished,3176651
3515338,13,2.5,90708,Durgapur,Fully furnished,3528714
4183259,13,2.5,82506,Durgapur,Semi-furnished,3838290
3801112,13,2.5,87198,Durgapur,Unfurnished,3378181
3468805,14,2.5,99595,Durgapur,Fully furnished,3463901
4079197,14,2.5,32685,Durgapur,Semi-furnished,3600597
3611411,14,2.5,45208,Durgapur,Unfurnished,3092630
3517646,15,2.5,30108,Durgapur,Fully furnished,3297149
4240864,15,2.5,89946,Durgapur,Semi-furnished,3798438
3576200,15,2.5,56910,Durgapur,Unfurnished,3040614
4210089,0,3,80020,Durgapur,Fully furnished,4655712
4785908,0,3,48085,Durgapur,Semi-furnished,4843077
4357594,0,3,65171,Durgapur,Unfurnished,4375148
4984746,1,3,1867,Durgapur,Fully furnished,5049514
4258732,1,3,33256,Durgapur,Semi-furnished,4386800
4403098,1,3,94778,Durgapur,Unfurnished,4451866
4282519,2,3,22371,Durgapur,Fully furnished,4535931
4223612,2,3,95288,Durgapur,Semi-furnished,4471579
4267486,2,3,57700,Durgapur,Unfurnished,4242229
4317438,3,3,64705,Durgapur,Fully furnished,4628604
4906542,3,3,42941,Durgapur,Semi-furnished,4848442
4502067,3,3,90523,Durgapur,Unfurnished,4465722
4832512,4,3,28658,Durgapur,Fully furnished,4911757
4936843,4,3,3665,Durgapur,Semi-furnished,4756064
4271242,4,3,71848,Durgapur,Unfurnished,4220210
4503261,5,3,60922,Durgapur,Fully furnished,4701507
4747265,5,3,55924,Durgapur,Semi-furnished,4695954
4365339,5,3,11925,Durgapur,Unfurnished,4128893
4508578,6,3,28853,Durgapur,Fully furnished,4601996
4217360,6,3,9727,Durgapur,Semi-furnished,4158593
4643849,6,3,15222,Durgapur,Unfurnished,4314814
4347404,7,3,58844,Durgapur,Fully furnished,4510484
4596969,7,3,21780,Durgapur,Semi-furnished,4438612
4691397,7,3,62827,Durgapur,Unfurnished,4420681
4408729,8,3,45589,Durgapur,Fully furnished,4490930
4954365,8,3,41801,Durgapur,Semi-furnished,4717280
4652438,8,3,17829,Durgapur,Unfurnished,4255077
4547196,9,3,21650,Durgapur,Fully furnished,4504499
4067110,9,3,3065,Durgapur,Semi-furnished,3918747
4455495,9,3,75027,Durgapur,Unfurnished,4192236
4210089,10,3,80020,Durgapur,Fully furnished,4335712
4785908,10,3,48085,Durgapur,Semi-furnished,4523077
4357594,10,3,65171,Durgapur,Unfurnished,4055148
4984746,11,3,1867,Durgapur,Fully furnished,4709514
4258732,11,3,33256,Durgapur,Semi-furnished,4046800
4403098,11,3,94778,Durgapur,Unfurnished,4111866
4282519,12,3,22371,Durgapur,Fully furnished,4175931
4223612,12,3,95288,Durgapur,Semi-furnished,4111579
4267486,12,3,57700,Durgapur,Unfurnished,3882229
4317438,13,3,64705,Durgapur,Fully furnished,4248604
4906542,13,3,42941,Durgapur,Semi-furnished,4468442
4502067,13,3,90523,Durgapur,Unfurnished,4085722
4832512,14,3,28658,Durgapur,Fully furnished,4511757
4936843,14,3,3665,Durgapur,Semi-furnished,4356064
4271242,14,3,71848,Durgapur,Unfurnished,3820210
4503261,15,3,60922,Durgapur,Fully furnished,4281507
4747265,15,3,55924,Durgapur,Semi-furnished,4275954
4365339,15,3,11925,Durgapur,Unfurnished,3708893
4782614,0,3.5,36967,Durgapur,Fully furnished,5178614
5266697,0,3.5,14109,Durgapur,Semi-furnished,5316230
4999432,0,3.5,55572,Durgapur,Unfurnished,5024327
5588432,1,3.5,40681,Durgapur,Fully furnished,5776207
4868438,1,3.5,59918,Durgapur,Semi-furnished,5091332
4912551,1,3.5,51908,Durgapur,Unfurnished,4927236
5274778,2,3.5,76361,Durgapur,Fully furnished,5591325
5150206,2,3.5,84741,Durgapur,Semi-furnished,5335087
4976246,2,3.5,90792,Durgapur,Unfurnished,5036189
5277259,3,3.5,48479,Durgapur,Fully furnished,5504871
4743333,3,3.5,76935,Durgapur,Semi-furnished,4981690
5277750,3,3.5,25634,Durgapur,Unfurnished,5094985
5304570,4,3.5,13296,Durgapur,Fully furnished,5419224
5455728,4,3.5,83824,Durgapur,Semi-furnished,5509266
5592362,4,3.5,20350,Durgapur,Unfurnished,5293465
5264632,5,3.5,43682,Durgapur,Fully furnished,5424721
4768658,5,3.5,20712,Durgapur,Semi-furnished,4817246
4885078,5,3.5,78900,Durgapur,Unfurnished,4853739
4911705,6,3.5,45969,Durgapur,Fully furnished,5128528
5411991,6,3.5,23882,Durgapur,Semi-furnished,5280154
5262809,6,3.5,89098,Durgapur,Unfurnished,5130250
5347395,7,3.5,28497,Durgapur,Fully furnished,5386214
5009235,7,3.5,11356,Durgapur,Semi-furnished,4911502
5250955,7,3.5,93745,Durgapur,Unfurnished,5096465
4752266,8,3.5,57423,Durgapur,Fully furnished,4960553
4636978,8,3.5,50126,Durgapur,Semi-furnished,4676880
4987158,8,3.5,23430,Durgapur,Unfurnished,4704286
4925833,9,3.5,64898,Durgapur,Fully furnished,5069909
5176833,9,3.5,70019,Durgapur,Semi-furnished,5091935
5527301,9,3.5,79751,Durgapur,Unfurnished,5199701
4782614,10,3.5,36967,Durgapur,Fully furnished,4858614
5266697,10,3.5,14109,Durgapur,Semi-furnished,4996230
4999432,10,3.5,55572,Durgapur,Unfurnished,4704327
5588432,11,3.5,40681,Durgapur,Fully furnished,5436207
4868438,11,3.5,59918,Durgapur,Semi-furnished,4751332
4912551,11,3.5,51908,Durgapur,Unfurnished,4587236
5274778,12,3.5,76361,Durgapur,Fully furnished,5231325
5150206,12,3.5,84741,Durgapur,Semi-furnished,4975087
4976246,12,3.5,90792,Durgapur,Unfurnished,4676189
5277259,13,3.5,48479,Durgapur,Fully furnished,5124871
4743333,13,3.5,76935,Durgapur,Semi-furnished,4601690
5277750,13,3.5,25634,Durgapur,Unfurnished,4714985
5304570,14,3.5,13296,Durgapur,Fully furnished,5019224
5455728,14,3.5,83824,Durgapur,Semi-furnished,5109266
5592362,14,3.5,20350,Durgapur,Unfurnished,4893465
5264632,15,3.5,43682,Durgapur,Fully furnished,5004721
4768658,15,3.5,20712,Durgapur,Semi-furnished,4397246
4885078,15,3.5,78900,Durgapur,Unfurnished,4433739
6059756,0,4,32889,Durgapur,Fully furnished,6337770
5734098,0,4,67370,Durgapur,Semi-furnished,5986128
6072548,0,4,71589,Durgapur,Unfurnished,6072632
5581474,1,4,81838,Durgapur,Fully furnished,6058964
5720896,1,4,8713,Durgapur,Semi-furnished,5824050
5820166,1,4,17992,Durgapur,Unfurnished,5739909
6110533,2,4,2104,Durgapur,Fully furnished,6260634
5802102,2,4,54777,Durgapur,Semi-furnished,5962107
5794753,2,4,24030,Durgapur,Unfurnished,5708878
5579367,3,4,96776,Durgapur,Fully furnished,6038226
5272490,3,4,59782,Durgapur,Semi-furnished,5543613
5936046,3,4,90163,Durgapur,Unfurnished,5934754
5660174,4,4,42909,Durgapur,Fully furnished,5952132
5901241,4,4,86869,Durgapur,Semi-furnished,6052055
5901959,4,4,83893,Durgapur,Unfurnished,5866053
5518605,5,4,99256,Durgapur,Fully furnished,5937503
5686996,5,4,32588,Durgapur,Semi-furnished,5738811
5808400,5,4,93694,Durgapur,Unfurnished,5785511
6047660,6,4,23395,Durgapur,Fully furnished,6139691
5562652,6,4,9470,Durgapur,Semi-furnished,5560450
5762017,6,4,27671,Durgapur,Unfurnished,5572009
5653121,7,4,54641,Durgapur,Fully furnished,5873582
6069807,7,4,14401,Durgapur,Semi-furnished,5921736
6052897,7,4,23081,Durgapur,Unfurnished,5747980
5320766,8,4,20591,Durgapur,Fully furnished,5509082
5923342,8,4,67152,Durgapur,Semi-furnished,5889474
6174630,8,4,8632,Durgapur,Unfurnished,5771709
5618866,9,4,66280,Durgapur,Fully furnished,5797154
5790228,9,4,41933,Durgapur,Semi-furnished,5693826
5778467,9,4,21737,Durgapur,Unfurnished,5460456
6059756,10,4,32889,Durgapur,Fully furnished,6017770
5734098,10,4,67370,Durgapur,Semi-furnished,5666128
6072548,10,4,71589,Durgapur,Unfurnished,5752632
5581474,11,4,81838,Durgapur,Fully furnished,5718964
5720896,11,4,8713,Durgapur,Semi-furnished,5484050
5820166,11,4,17992,Durgapur,Unfurnished,5399909
6110533,12,4,2104,Durgapur,Fully furnished,5900634
5802102,12,4,54777,Durgapur,Semi-furnished,5602107
5794753,12,4,24030,Durgapur,Unfurnished,5348878
5579367,13,4,96776,Durgapur,Fully furnished,5658226
5272490,13,4,59782,Durgapur,Semi-furnished,5163613
5936046,13,4,90163,Durgapur,Unfurnished,5554754
5660174,14,4,42909,Durgapur,Fully furnished,5552132
5901241,14,4,86869,Durgapur,Semi-furnished,5652055
5901959,14,4,83893,Durgapur,Unfurnished,5466053
5518605,15,4,99256,Durgapur,Fully furnished,5517503
5686996,15,4,32588,Durgapur,Semi-furnished,5318811
5808400,15,4,93694,Durgapur,Unfurnished,5365511
6411651,0,4.5,54823,Durgapur,Fully furnished,6865965
6247299,0,4.5,32553,Durgapur,Semi-furnished,6512064
6188441,0,4.5,68857,Durgapur,Unfurnished,6367201
5916581,1,4.5,95859,Durgapur,Fully furnished,6556991
6180349,1,4.5,5022,Durgapur,Semi-furnished,6377614
6175127,1,4.5,68061,Durgapur,Unfurnished,6332331
6047922,2,4.5,68795,Durgapur,Fully furnished,6572270
5852076,2,4.5,61447,Durgapur,Semi-furnished,6227261
6782563,2,4.5,15996,Durgapur,Unfurnished,6654439
6236286,3,4.5,61128,Durgapur,Fully furnished,6671559
6259782,3,4.5,86943,Durgapur,Semi-furnished,6566209
6249949,3,4.5,48932,Durgapur,Unfurnished,6295112
6464873,4,4.5,92962,Durgapur,Fully furnished,6886320
5857149,4,4.5,29325,Durgapur,Semi-furnished,6104448
6260155,4,4.5,24325,Durgapur,Unfurnished,6219733
6699159,5,4.5,32048,Durgapur,Fully furnished,6899366
6083768,5,4.5,48417,Durgapur,Semi-furnished,6287681
6040208,5,4.5,21562,Durgapur,Unfurnished,6015494
6716422,6,4.5,31107,Durgapur,Fully furnished,6877416
6236269,6,4.5,43977,Durgapur,Semi-furnished,6360814
6591983,6,4.5,29743,Durgapur,Unfurnished,6419842
6303268,7,4.5,63371,Durgapur,Fully furnished,6599400
6451890,7,4.5,26978,Durgapur,Semi-furnished,6452288
5941408,7,4.5,61041,Durgapur,Unfurnished,5959260
6515404,8,4.5,67473,Durgapur,Fully furnished,6732648
6731058,8,4.5,4259,Durgapur,Semi-furnished,6577474
6412227,8,4.5,49588,Durgapur,Unfurnished,6254886
6231180,9,4.5,92430,Durgapur,Fully furnished,6532543
6379598,9,4.5,74172,Durgapur,Semi-furnished,6425173
6230559,9,4.5,15563,Durgapur,Unfurnished,6002963
6411651,10,4.5,54823,Durgapur,Fully furnished,6545965
6247299,10,4.5,32553,Durgapur,Semi-furnished,6192064
6188441,10,4.5,68857,Durgapur,Unfurnished,6047201
5916581,11,4.5,95859,Durgapur,Fully furnished,6216991
6180349,11,4.5,5022,Durgapur,Semi-furnished,6037614
6175127,11,4.5,68061,Durgapur,Unfurnished,5992331
6047922,12,4.5,68795,Durgapur,Fully furnished,6212270
5852076,12,4.5,61447,Durgapur,Semi-furnished,5867261
6782563,12,4.5,15996,Durgapur,Unfurnished,6294439
6236286,13,4.5,61128,Durgapur,Fully furnished,6291559
6259782,13,4.5,86943,Durgapur,Semi-furnished,6186209
6249949,13,4.5,48932,Durgapur,Unfurnished,5915112
6464873,14,4.5,92962,Durgapur,Fully furnished,6486320
5857149,14,4.5,29325,Durgapur,Semi-furnished,5704448
6260155,14,4.5,24325,Durgapur,Unfurnished,5819733
6699159,15,4.5,32048,Durgapur,Fully furnished,6479366
6083768,15,4.5,48417,Durgapur,Semi-furnished,5867681
6040208,15,4.5,21562,Durgapur,Unfurnished,5595494
6928815,0,5,75664,Durgapur,Fully furnished,7532360
7526234,0,5,58936,Durgapur,Semi-furnished,7769597
7366844,0,5,18426,Durgapur,Unfurnished,7379339
7445836,1,5,65576,Durgapur,Fully furnished,7880103
7759856,1,5,57724,Durgapur,Semi-furnished,7921483
7006380,1,5,78101,Durgapur,Unfurnished,7213671
7239050,2,5,79806,Durgapur,Fully furnished,7729251
7536078,2,5,46360,Durgapur,Semi-furnished,7701411
7026056,2,5,17268,Durgapur,Unfurnished,7069792
7213748,3,5,64680,Durgapur,Fully furnished,7649744
6930084,3,5,51514,Durgapur,Semi-furnished,7225195
7102365,3,5,34598,Durgapur,Unfurnished,7138913
7650804,4,5,98668,Durgapur,Fully furnished,8027681
6948069,4,5,27037,Durgapur,Semi-furnished,7156014
6901457,4,5,39985,Durgapur,Unfurnished,6969074
7667956,5,5,84602,Durgapur,Fully furnished,7978771
7244778,5,5,75436,Durgapur,Semi-furnished,7456990
7613023,5,5,93795,Durgapur,Unfurnished,7597246
7077802,6,5,83792,Durgapur,Fully furnished,7495472
7257894,6,5,18948,Durgapur,Semi-furnished,7309685
7257409,6,5,40773,Durgapur,Unfurnished,7177331
7480685,7,5,42446,Durgapur,Fully furnished,7675702
7603318,7,5,7062,Durgapur,Semi-furnished,7511058
7703212,7,5,46863,Durgapur,Unfurnished,7494540
7687911,8,5,22782,Durgapur,Fully furnished,7752933
6924062,8,5,53838,Durgapur,Semi-furnished,7060731
7769509,8,5,72012,Durgapur,Unfurnished,7563253
6905440,9,5,6974,Durgapur,Fully furnished,7084477
7126788,9,5,10368,Durgapur,Semi-furnished,7080168
7643224,9,5,58371,Durgapur,Unfurnished,7398266
6928815,10,5,75664,Durgapur,Fully furnished,7212360
7526234,10,5,58936,Durgapur,Semi-furnished,7449597
7366844,10,5,18426,Durgapur,Unfurnished,7059339
7445836,11,5,65576,Durgapur,Fully furnished,7540103
7759856,11,5,57724,Durgapur,Semi-furnished,7581483
7006380,11,5,78101,Durgapur,Unfurnished,6873671
7239050,12,5,79806,Durgapur,Fully furnished,7369251
7536078,12,5,46360,Durgapur,Semi-furnished,7341411
7026056,12,5,17268,Durgapur,Unfurnished,6709792
7213748,13,5,64680,Durgapur,Fully furnished,7269744
6930084,13,5,51514,Durgapur,Semi-furnished,6845195
7102365,13,5,34598,Durgapur,Unfurnished,6758913
7650804,14,5,98668,Durgapur,Fully furnished,7627681
6948069,14,5,27037,Durgapur,Semi-furnished,6756014
6901457,14,5,39985,Durgapur,Unfurnished,6569074
7667956,15,5,84602,Durgapur,Fully furnished,7558771
7244778,15,5,75436,Durgapur,Semi-furnished,7036990
7613023,15,5,93795,Durgapur,Unfurnished,7177246
2169827,0,1,92742,Navi Mumbai,Fully furnished,3663101
2384651,0,1,78728,Navi Mumbai,Semi-furnished,3615536
2134146,0,1,3085,Navi Mumbai,Unfurnished,3078738
2158634,1,1,2049,Navi Mumbai,Fully furnished,3432070
1695000,1,1,3317,Navi Mumbai,Semi-furnished,2902497
1683402,1,1,14816,Navi Mumbai,Unfurnished,2738981
2331969,2,1,87404,Navi Mumbai,Fully furnished,3726585
2323016,2,1,32886,Navi Mumbai,Semi-furnished,3419841
1912095,2,1,55523,Navi Mumbai,Unfurnished,2977343
1980865,3,1,57379,Navi Mumbai,Fully furnished,3366691
1658450,3,1,47634,Navi Mumbai,Semi-furnished,2920217
1819530,3,1,93191,Navi Mumbai,Unfurnished,2962863
2127803,4,1,85675,Navi Mumbai,Fully furnished,3511615
2442898,4,1,67987,Navi Mumbai,Semi-furnished,3532174
1512121,4,1,84562,Navi Mumbai,Unfurnished,2681248
2387081,5,1,11352,Navi Mumbai,Fully furnished,3514156
1826769,5,1,1918,Navi Mumbai,Semi-furnished,2887564
2146490,5,1,77394,Navi Mumbai,Unfurnished,3116599
1618744,6,1,72497,Navi Mumbai,Fully furnished,3031739
2219711,6,1,34287,Navi Mumbai,Semi-furnished,3224412
1813794,6,1,90911,Navi Mumbai,Unfurnished,2860488
2019793,7,1,18738,Navi Mumbai,Fully furnished,3183266
2363794,7,1,48807,Navi Mumbai,Semi-furnished,3330859
1518817,7,1,8793,Navi Mumbai,Unfurnished,2420646
2149485,8,1,67021,Navi Mumbai,Fully furnished,3351055
2412805,8,1,23396,Navi Mumbai,Semi-furnished,3275203
1598958,8,1,85656,Navi Mumbai,Unfurnished,2613651
1605081,9,1,65181,Navi Mumbai,Fully furnished,2894260
2160140,9,1,29536,Navi Mumbai,Semi-furnished,3057686
1611732,9,1,26917,Navi Mumbai,Unfurnished,2455134
2169827,10,1,92742,Navi Mumbai,Fully furnished,3343101
2384651,10,1,78728,Navi Mumbai,Semi-furnished,3295536
2134146,10,1,3085,Navi Mumbai,Unfurnished,2758738
2158634,11,1,2049,Navi Mumbai,Fully furnished,3092070
1695000,11,1,3317,Navi Mumbai,Semi-furnished,2562497
1683402,11,1,14816,Navi Mumbai,Unfurnished,2398981
2331969,12,1,87404,Navi Mumbai,Fully furnished,3366585
2323016,12,1,32886,Navi Mumbai,Semi-furnished,3059841
1912095,12,1,55523,Navi Mumbai,Unfurnished,2617343
1980865,13,1,57379,Navi Mumbai,Fully furnished,2986691
