Purchase Budget,House Age,Number of Bedrooms (BHK),Area's Resident Population,City,Furnishing Status,Price
3312226,4,2.0,69922,Navi Mumbai,Semi-furnished,3279313
2957474,4,2.0,68008,Navi Mumbai,Unfurnished,2834027
3254664,5,2.0,57612,Navi Mumbai,Fully furnished,3299403
3577051,5,2.0,62559,Navi Mumbai,Semi-furnished,3436995
3376414,5,2.0,72519,Navi Mumbai,Unfurnished,3186245
3051794,6,2.0,50827,Navi Mumbai,Fully furnished,3086397
3749693,6,2.0,21675,Navi Mumbai,Semi-furnished,3319804
3744154,6,2.0,35607,Navi Mumbai,Unfurnished,3248965
3500512,7,2.0,61419,Navi Mumbai,Fully furnished,3498924
3535392,7,2.0,20671,Navi Mumbai,Semi-furnished,3132340
3344894,7,2.0,25192,Navi Mumbai,Unfurnished,2857067
2865310,8,2.0,97369,Navi Mumbai,Fully furnished,3196462
3515396,8,2.0,77100,Navi Mumbai,Semi-furnished,3444917
3480135,8,2.0,6448,Navi Mumbai,Unfurnished,2842796
3217304,9,2.0,56425,Navi Mumbai,Fully furnished,3222393
3289064,9,2.0,58512,Navi Mumbai,Semi-furnished,3142323
3197112,9,2.0,85955,Navi Mumbai,Unfurnished,3083420
3933010,0,2.5,57759,Navi Mumbai,Fully furnished,3917962
4343367,0,2.5,4030,Navi Mumbai,Semi-furnished,3773874
4328838,0,2.5,11124,Navi Mumbai,Unfurnished,3654814
4320769,1,2.5,60202,Navi Mumbai,Fully furnished,4232827
3686958,1,2.5,44547,Navi Mumbai,Semi-furnished,3481848
3498996,1,2.5,12283,Navi Mumbai,Unfurnished,2987895
3782487,2,2.5,81664,Navi Mumbai,Fully furnished,3920974
4289177,2,2.5,47250,Navi Mumbai,Semi-furnished,3969842
3600353,2,2.5,24053,Navi Mumbai,Unfurnished,3129600
4093022,3,2.5,2361,Navi Mumbai,Fully furnished,3683584
3924718,3,2.5,78247,Navi Mumbai,Semi-furnished,3854256
3892262,3,2.5,31427,Navi Mumbai,Unfurnished,3397372
3691691,4,2.5,4795,Navi Mumbai,Fully furnished,3367123
3885947,4,2.5,94142,Navi Mumbai,Semi-furnished,3908610
3797941,4,2.5,92612,Navi Mumbai,Unfurnished,3679025
3490289,5,2.5,1737,Navi Mumbai,Fully furnished,3177653
3634834,5,2.5,83185,Navi Mumbai,Semi-furnished,3631977
3407079,5,2.5,88732,Navi Mumbai,Unfurnished,3333055
4127141,6,2.5,68248,Navi Mumbai,Fully furnished,4076201
3669659,6,2.5,71905,Navi Mumbai,Semi-furnished,3582157
3642469,6,2.5,5239,Navi Mumbai,Unfurnished,3010409
4017004,7,2.5,1477,Navi Mumbai,Fully furnished,3577465
3976141,7,2.5,76000,Navi Mumbai,Semi-furnished,3841913
4168164,7,2.5,4946,Navi Mumbai,Unfurnished,3419207
4161289,8,2.5,19155,Navi Mumbai,Fully furnished,3788961
3448014,8,2.5,16846,Navi Mumbai,Semi-furnished,3054487
4033281,8,2.5,76005,Navi Mumbai,Unfurnished,3727655
4322918,9,2.5,6918,Navi Mumbai,Fully furnished,3834842
4307589,9,2.5,14155,Navi Mumbai,Semi-furnished,3716001
4234845,9,2.5,7579,Navi Mumbai,Unfurnished,3468350
4604718,0,3.0,49674,Navi Mumbai,Fully furnished,4431818
4188478,0,3.0,8824,Navi Mumbai,Semi-furnished,3703726
4758363,0,3.0,65877,Navi Mumbai,Unfurnished,4351952
4831860,1,3.0,11945,Navi Mumbai,Fully furnished,4377158
4391411,1,3.0,26913,Navi Mumbai,Semi-furnished,3964607
4876571,1,3.0,90595,Navi Mumbai,Unfurnished,4584827
4714113,2,3.0,36215,Navi Mumbai,Fully furnished,4418580
4380781,2,3.0,51276,Navi Mumbai,Semi-furnished,4092281
4977679,2,3.0,34113,Navi Mumbai,Unfurnished,4316821
4942751,3,3.0,65176,Navi Mumbai,Fully furnished,4765257
4451031,3,3.0,33617,Navi Mumbai,Semi-furnished,4032527
4769285,3,3.0,55523,Navi Mumbai,Unfurnished,4268566
4952006,4,3.0,14129,Navi Mumbai,Fully furnished,4456379
4993031,4,3.0,97933,Navi Mumbai,Semi-furnished,4842023
4602208,4,3.0,36604,Navi Mumbai,Unfurnished,4011390
4516622,5,3.0,42286,Navi Mumbai,Fully furnished,4267014
4007224,5,3.0,16812,Navi Mumbai,Semi-furnished,3556651
4767521,5,3.0,49351,Navi Mumbai,Unfurnished,4210123
4461929,6,3.0,99553,Navi Mumbai,Fully furnished,4556861
4835325,6,3.0,81822,Navi Mumbai,Semi-furnished,4599192
4780995,6,3.0,36986,Navi Mumbai,Unfurnished,4136712
4118594,7,3.0,56139,Navi Mumbai,Fully furnished,4011709
4163355,7,3.0,59515,Navi Mumbai,Semi-furnished,3917774
4782522,7,3.0,46072,Navi Mumbai,Unfurnished,4182450
4877657,8,3.0,35114,Navi Mumbai,Fully furnished,4482810
4199128,8,3.0,51464,Navi Mumbai,Semi-furnished,3888086
4308384,8,3.0,23875,Navi Mumbai,Unfurnished,3659957
4388929,9,3.0,68436,Navi Mumbai,Fully furnished,4281759
4749616,9,3.0,88410,Navi Mumbai,Semi-furnished,4540153
4450147,9,3.0,27383,Navi Mumbai,Unfurnished,3784416
4635617,0,3.5,55561,Navi Mumbai,Fully furnished,4516860
5437254,0,3.5,26278,Navi Mumbai,Semi-furnished,4832471
5349903,0,3.5,30371,Navi Mumbai,Unfurnished,4637148
5433835,1,3.5,76381,Navi Mumbai,Fully furnished,5270354
4665788,1,3.5,58109,Navi Mumbai,Semi-furnished,4396284
5316752,1,3.5,29901,Navi Mumbai,Unfurnished,4597808
4891750,2,3.5,15147,Navi Mumbai,Fully furnished,4459282
5331751,2,3.5,16807,Navi Mumbai,Semi-furnished,4671243
4622170,2,3.5,35820,Navi Mumbai,Unfurnished,4067656
5257570,3,3.5,65645,Navi Mumbai,Fully furnished,5044926
4644001,3,3.5,39487,Navi Mumbai,Semi-furnished,4247123
5322500,3,3.5,84504,Navi Mumbai,Unfurnished,4910024
5331697,4,3.5,36373,Navi Mumbai,Fully furnished,4918596
5546419,4,3.5,22737,Navi Mumbai,Semi-furnished,4858557
5526272,4,3.5,93712,Navi Mumbai,Unfurnished,5118290
5040284,5,3.5,22941,Navi Mumbai,Fully furnished,4594873
5172902,5,3.5,89996,Navi Mumbai,Semi-furnished,4953298
5535577,5,3.5,85718,Navi Mumbai,Unfurnished,5067770
4885701,6,3.5,12949,Navi Mumbai,Fully furnished,4401255
4920285,6,3.5,92992,Navi Mumbai,Semi-furnished,4759180
5505311,6,3.5,76156,Navi Mumbai,Unfurnished,4976185
